tau,tau_prime,method,trial,attempt,cos_sim
0.0,0.2,bt_map_k,0,12,0.19559813888978167
0.0,0.2,bt_map_k,0,13,0.195598546795276
0.0,0.2,bt_map_k,0,14,0.32841102301158004
0.0,0.2,bt_map_k,0,15,0.2703265828755683
0.0,0.2,bt_map_k,0,16,0.2703265828755683
0.0,0.2,bt_map_k,0,17,0.27014109236237893
0.0,0.2,bt_map_k,0,18,0.1873412636294195
0.0,0.2,bt_map_k,0,19,0.32554959378500353
0.0,0.2,bt_map_k,0,20,0.30253247354907425
0.0,0.2,bt_map_k,0,21,0.46279249106709375
0.0,0.2,bt_map_k,0,22,0.3410310450212376
0.0,0.2,bt_map_k,0,23,0.41976253681819575
0.0,0.2,bt_map_k,0,24,0.3054558368035829
0.0,0.2,bt_map_k,1,1,0.8415976328989679
0.0,0.2,bt_map_k,1,2,0.5272962215509835
0.0,0.2,bt_map_k,1,3,0.6681617625097369
0.0,0.2,bt_map_k,1,4,0.7024862918059818
0.0,0.2,bt_map_k,1,5,0.8099632854674225
0.0,0.2,bt_map_k,1,6,0.7321918855327657
0.0,0.2,bt_map_k,1,7,0.8237354639521034
0.0,0.2,bt_map_k,1,8,0.8320874260093647
0.0,0.2,bt_map_k,1,9,0.8320874260093647
0.0,0.2,bt_map_k,1,10,0.7042093442603414
0.0,0.2,bt_map_k,1,11,0.7870203267867787
0.0,0.2,bt_map_k,1,12,0.7747929798801259
0.0,0.2,bt_map_k,1,13,0.8458411125876543
0.0,0.2,bt_map_k,1,14,0.8096439942186268
0.0,0.2,bt_map_k,1,15,0.8314404919283228
0.0,0.2,bt_map_k,1,16,0.785108781875228
0.0,0.2,bt_map_k,1,17,0.7757034177590272
0.0,0.2,bt_map_k,1,18,0.8057818715358885
0.0,0.2,bt_map_k,1,19,0.8451160004075665
0.0,0.2,bt_map_k,1,20,0.7887243327750637
0.0,0.2,bt_map_k,1,21,0.7201112317136051
0.0,0.2,bt_map_k,2,1,0.7885957813630836
0.0,0.2,bt_map_k,2,2,0.7274749343155634
0.0,0.2,bt_map_k,2,3,0.5993290571444574
0.0,0.2,bt_map_k,2,4,0.5993292039305961
0.0,0.2,bt_map_k,2,5,0.5530186516409495
0.0,0.2,bt_map_k,2,6,0.8955968274693205
0.0,0.2,bt_map_k,2,7,0.9733482726897061
0.0,0.2,bt_map_k,2,8,0.8761921293610719
0.0,0.2,bt_map_k,2,9,0.7487425206413731
0.0,0.2,bt_map_k,2,10,0.5611607707889855
0.0,0.2,bt_map_k,2,11,0.5355703858413945
0.0,0.2,bt_map_k,2,12,0.4834344014236547
0.0,0.2,bt_map_k,2,13,0.47388702376203146
0.0,0.2,bt_map_k,2,14,0.47505164779368736
0.0,0.2,bt_map_k,2,15,0.47619944167798295
0.0,0.2,bt_map_k,2,16,0.4721401958048824
0.0,0.2,bt_map_k,2,17,0.47599240350806443
0.0,0.2,bt_map_k,2,18,0.5932909709657742
0.0,0.2,bt_map_k,2,19,0.779514237059782
0.0,0.2,bt_map_k,2,20,0.8848472049673612
0.0,0.2,bt_map_k,2,21,0.8848472049673612
0.0,0.2,bt_map_k,2,22,0.8879682462551137
0.0,0.2,bt_map_random,0,1,0.6687872481493929
0.0,0.2,bt_map_random,0,2,0.7266287802178332
0.0,0.2,bt_map_random,0,3,0.8068615960747679
0.0,0.2,bt_map_random,0,4,0.8851243489728579
0.0,0.2,bt_map_random,0,5,0.7425592106780114
0.0,0.2,bt_map_random,0,6,0.7907117610871092
0.0,0.2,bt_map_random,0,7,0.7765447638517432
0.0,0.2,bt_map_random,0,8,0.7616153620472946
0.0,0.2,bt_map_random,0,9,0.7717640473162466
0.0,0.2,bt_map_random,0,10,0.7976488319362399
0.0,0.2,bt_map_random,0,11,0.7704437158789721
0.0,0.2,bt_map_random,0,12,0.7304363146987359
0.0,0.2,bt_map_random,0,13,0.7198876965394818
