personID,num_Q,AorB,food,size_A,access_A,income_A,poverty_A,last_donation_A,dist_A,size_B,access_B,income_B,poverty_B,last_donation_B,dist_B,r,kappa,sy,sx,bt_pred
F1,23,B,1,4,0,4,1,12,2,3,2,0,3,5,2,0.1967577451587314,-0.1967577451587314,0.0,0.1967577451587314,B
F1,24,A,0,4,0,4,1,3,2,2,2,1,1,1,3,0.1267208347160173,0.1016973393692494,0.11420908704263336,0.01251174767338395,A
F1,25,B,0,4,2,0,1,10,1,2,1,2,1,8,1,0.006255873836691971,0.006255873836691971,0.006255873836691971,0.0,A
F1,26,B,0,4,2,2,1,8,3,2,2,0,0,12,1,0.3205411728279404,-0.136295175342593,0.09212299874267371,0.2284181740852667,B
F1,27,A,0,3,0,1,2,10,0,3,0,4,0,1,1,0.29845508452798075,0.29845508452798075,0.29845508452798075,0.0,A
F1,28,B,0,4,1,3,1,3,3,1,1,0,1,11,2,0.11420908704263336,-0.11420908704263336,0.0,0.11420908704263336,B
F1,29,A,0,1,1,4,0,6,1,2,2,2,2,1,2,0.30471095836467277,-0.07629278427940606,0.11420908704263336,0.1905018713220394,B
F1,30,B,1,4,0,3,1,7,3,2,2,2,3,0,1,0.4251759192439981,-0.4251759192439981,0.0,0.4251759192439981,B
F1,31,A,1,3,0,3,1,0,1,1,0,5,1,3,2,0.11420908704263336,0.11420908704263336,0.11420908704263336,0.0,A
F1,32,B,1,4,0,2,2,5,1,0,2,1,4,3,1,0.1967577451587314,-0.1967577451587314,0.0,0.1967577451587314,B
F1,33,B,0,0,0,5,1,7,2,1,2,3,1,4,2,0.012511747673383943,-0.012511747673383943,0.0,0.012511747673383943,B
F1,34,B,1,4,2,0,0,4,2,0,1,1,4,8,0,0.6031660428926535,-0.5906542952192696,0.006255873836691961,0.5969101690559615,B
F1,35,A,1,3,0,0,2,5,0,1,2,4,1,12,3,0.44726200754395773,0.42223851219718983,0.4347502598705738,0.01251174767338395,A
F1,36,A,1,1,0,4,0,1,0,0,0,4,1,8,2,0.3205411728279404,0.13629517534259294,0.22841817408526668,0.09212299874267374,A
F1,37,A,1,2,2,3,1,8,0,4,2,1,4,9,3,0.6189962573559212,0.06625826489987885,0.34262726112790004,0.2763689962280212,A
F1,38,A,1,4,0,0,5,9,0,3,1,3,0,1,1,0.5810799545926939,0.5685682069193101,0.574824080756002,0.006255873836691905,A
F1,39,A,1,0,2,2,0,12,3,1,0,5,0,10,3,0.012511747673383943,0.012511747673383943,0.012511747673383943,0.0,A
F1,40,B,0,3,1,5,0,7,1,1,0,2,2,11,1,0.1905018713220394,-0.1779901236486555,0.006255873836691961,0.18424599748534745,B
F1,41,A,0,2,2,4,1,9,0,2,0,1,1,7,1,0.12672083471601728,0.12672083471601728,0.12672083471601728,0.0,A
F1,42,A,1,0,1,2,3,6,0,0,1,2,2,1,1,0.20633208578530704,0.20633208578530704,0.20633208578530704,0.0,A
F1,43,B,0,2,1,4,0,4,3,0,1,5,1,0,3,0.09212299874267373,-0.09212299874267373,0.0,0.09212299874267373,B
F1,44,A,1,2,0,4,1,12,0,4,1,3,1,5,0,0.006255873836691971,-0.006255873836691971,0.0,0.006255873836691971,B
F1,45,A,0,2,0,2,3,0,1,3,1,5,1,12,2,0.30471095836467277,0.29219921069128885,0.2984550845279808,0.006255873836691961,A
